id	dis_num	density	kakaoF	total_chat	group_chat	one_to_one	A5-1	A5-3	B1	C1-9	C1-10	D2	D3	fb_use	overlap	fig5
CUBEE0001	5	0.2	248 	29	9	20	2	4	3	3	2	1	3	1	0.6	0.6
CUBEE0002	3	0.333333333	397 	19	9	10	4	3	6	2	6	2	3	1	0.666666667	0.333333333
CUBEE0003	2	1	443 	40	12	28	3	3	3	3	3	2	3	1	0	0
CUBEE0004	4	0.333333333	439 	42	24	18	4	5	3	3	3	2	3	2	1	0.5
CUBEE0005	4	0.166666667	355 	24	9	15	4	4	8	3	4	1	2	2	0	0.5
CUBEE0007	4	0.5	1041 	82	20	62	2	1	8	2	3	1	2	1	1	0.5
CUBEE0008	3	0.333333333	1154 	49	20	29	2	4	2	5	5	1	1	1	0.333333333	0
CUBEE0009	5	0.1	249 	17	7	10	2	4	4	5	5	1	2	1	0.8	0.6
CUBEE0010	5	0.7	411 	24	9	15	3	3	2	1	3	2	3	1	0.6	0.6
CUBEE0011	4	0	340 	19	6	13	4	5	4	2	3	2	3	2	0.5	0.25
CUBEE0012	5	1	444 	21	8	13	4	4	9	2	3	1	2	1	0.4	0.6
CUBEE0014	4	0.166666667	540 	33	17	16	3	4	6	3	3	2	3	1	0.75	1
CUBEE0015	3	0.333333333	431 	32	8	24	3	4	4	3	3	2	3	1	0.333333333	0
CUBEE0016	1	.	237 	20	7	13	5	5	6	2	2	2	3	2	0	0
CUBEE0018	5	0.3	705 	36	16	20	3	3	4	2	2	1	3	1	0.6	0.4
CUBEE0019	5	0.3	1249 	69	32	37	3	2	5	1	3	1	3	1	1	0.4
CUBEE0021	5	0.7	450 	28	14	14	4	4	6	6	6	1	3	1	1	0.8
CUBEE0022	1	.	112 	27	8	19	4	5	3	3	6	2	3	1	0	1
CUBEE0024	1	.	681 	70	13	57	3	3	3	2	2	2	3	1	1	1
CUBEE0025	4	0.5	.	51	18	33	3	2	3	6	6	1	3	1	1	0.75
CUBEE0027	5	0.1	530 	45	11	34	3	1	6	3	2	1	3	2	0	0.6
CUBEE0030	5	0.3	429 	47	20	27	2	4	3	1	2	2	3	1	1	0.6
CUBEE0032	2	0	407 	30	12	18	4	3	2	3	3	2	3	2	0	0.5
CUBEE0033	3	0.333333333	25 	28	6	22	4	5	8	5	5	2	1	2	0	0.666666667
CUBEE0036	5	0.2	483 	22	7	15	3	1	5	6	6	1	3	1	0.6	0.4
CUBEE0037	3	0.666666667	334 	31	14	17	4	3	5	4	3	1	3	1	0.666666667	1
CUBEE0038	3	0.333333333	555 	58	28	30	3	4	7	3	6	1	3	1	0.666666667	0.666666667
CUBEE0039	4	0.166666667	654 	45	17	28	2	2	7	4	3	2	3	1	0.5	0.25
CUBEE0040	4	0.333333333	1075 	105	27	78	3	3	4	2	3	1	1	1	0.5	0.25
CUBEE0041	3	0.333333333	477 	72	32	40	4	4	5	3	2	2	3	1	0.333333333	0
CUBEE0045	3	0.333333333	587 	39	19	20	3	4	1	1	2	1	3	1	1	1
CUBEE0046	4	0.333333333	391 	27	20	7	3	3	4	3	2	1	3	2	0	0.5
CUBEE0047	3	0	268 	12	6	6	3	4	3	3	4	1	3	2	0	0.333333333
CUBEE0048	3	0.333333333	333 	39	16	23	3	5	4	4	3	2	3	1	0.333333333	0.333333333
CUBEE0050	5	0.3	346 	90	41	49	2	4	7	2	2	2	3	1	1	0.8
CUBEE0051	3	0	309 	39	21	18	4	4	4	1	3	2	3	1	0.666666667	0.666666667
CUBEE0052	5	0.3	350 	22	6	16	3	5	3	2	1	1	2	2	0.4	0.8
CUBEE0053	2	0	2288 	51	16	35	2	5	2	2	2	2	3	1	0.5	0
CUBEE0054	5	0.4	452 	17	11	6	3	4	2	2	3	1	2	1	0.6	0
CUBEE0058	5	0.2	457 	25	10	15	2	3	2	4	2	2	3	1	0.2	0.4
